time,metric,metricTime,metricValue,video,cc,abr,http
2025-04-28 01:04:35,index,6.43599987030029,4676,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:37,index,8.43599987030029,2781,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:41,index,12.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:43,index,14.4349999427795,2781,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:45,index,16.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:47,index,18.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:49,index,20.4349999427795,1499,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:51,index,22.4359998703003,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:53,index,24.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:55,index,26.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:04:59,index,30.4359998703003,1499,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:01,index,32.4349999427795,1499,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:03,index,34.4349999427795,1499,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:05,index,36.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:07,index,38.4349999427795,980,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:09,index,40.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:11,index,42.4349999427795,635,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:13,index,44.4370000362396,980,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:15,index,46.4349999427795,1767,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:17,index,48.4349999427795,635,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
2025-04-28 01:05:19,index,50.4349999427795,980,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
