http,cc,abr,metricValue
HTTP/1.1,BBR,Bola,383.020366598778
HTTP/1.1,BBR,Dynamic,380.7682926829268
HTTP/1.1,BBR,Festive,534.5599128540305
HTTP/1.1,BBR,L2A,392.7310195227766
HTTP/1.1,BBR,RB,404.7158836689038
HTTP/1.1,BBR,Throughput,393.76987447698747
HTTP/1.1,CUBIC,Bola,341.5061475409836
HTTP/1.1,CUBIC,Dynamic,424.3668763102725
HTTP/1.1,CUBIC,Festive,525.5854700854701
HTTP/1.1,CUBIC,L2A,446.1477516059957
HTTP/1.1,CUBIC,RB,410.6551724137931
HTTP/1.1,CUBIC,Throughput,425.16041666666666
HTTP/1.1,HTCP,Bola,367.41101694915255
HTTP/1.1,HTCP,Dynamic,380.36875
HTTP/1.1,HTCP,Festive,500.0151187904968
HTTP/1.1,HTCP,L2A,404.44849785407723
HTTP/1.1,HTCP,RB,435.75681341719076
HTTP/1.1,HTCP,Throughput,413.167701863354
HTTP/1.1,Westwood,Bola,327.43037974683546
HTTP/1.1,Westwood,Dynamic,423.5373443983402
HTTP/1.1,Westwood,Festive,511.2286324786325
HTTP/1.1,Westwood,L2A,403.45894736842104
HTTP/1.1,Westwood,RB,398.14761904761906
HTTP/1.1,Westwood,Throughput,421.663179916318
HTTP/2,BBR,Bola,361.40380549682874
HTTP/2,BBR,Dynamic,372.4391304347826
HTTP/2,BBR,Festive,441.8095238095238
HTTP/2,BBR,L2A,424.07974137931035
HTTP/2,BBR,RB,353.47457627118644
HTTP/2,BBR,Throughput,423.7765726681128
HTTP/2,CUBIC,Bola,344.9872611464968
HTTP/2,CUBIC,Dynamic,425.93555093555096
HTTP/2,CUBIC,Festive,439.3542600896861
HTTP/2,CUBIC,L2A,413.60860215053765
HTTP/2,CUBIC,RB,420.1496598639456
HTTP/2,CUBIC,Throughput,415.33404255319147
HTTP/2,HTCP,Bola,319.6021052631579
HTTP/2,HTCP,Dynamic,350.96095444685466
HTTP/2,HTCP,Festive,439.5416666666667
HTTP/2,HTCP,L2A,426.8273542600897
HTTP/2,HTCP,RB,373.6183908045977
HTTP/2,HTCP,Throughput,387.6046511627907
HTTP/2,Westwood,Bola,316.57142857142856
HTTP/2,Westwood,Dynamic,370.7278350515464
HTTP/2,Westwood,Festive,442.7522522522523
HTTP/2,Westwood,L2A,340.7608200455581
HTTP/2,Westwood,RB,343.55252100840335
HTTP/2,Westwood,Throughput,371.6766595289079
HTTP/3,BBR,Bola,168.915611814346
HTTP/3,BBR,Dynamic,171.4617067833698
HTTP/3,BBR,Festive,244.16135881104034
HTTP/3,BBR,L2A,181.70105263157896
HTTP/3,BBR,RB,229.9832285115304
HTTP/3,BBR,Throughput,181.152466367713
HTTP/3,CUBIC,Bola,164.01079913606912
HTTP/3,CUBIC,Dynamic,166.47948164146868
HTTP/3,CUBIC,Festive,222.51234567901236
HTTP/3,CUBIC,L2A,181.9787234042553
HTTP/3,CUBIC,RB,203.03609341825901
HTTP/3,CUBIC,Throughput,173.49787234042554
HTTP/3,HTCP,Bola,173.6715481171548
HTTP/3,HTCP,Dynamic,175.32980972515855
HTTP/3,HTCP,Festive,237.49674620390456
HTTP/3,HTCP,L2A,184.10492505353318
HTTP/3,HTCP,RB,226.60127931769722
HTTP/3,HTCP,Throughput,166.15164835164836
HTTP/3,Westwood,Bola,169.17857142857142
HTTP/3,Westwood,Dynamic,182.9759825327511
HTTP/3,Westwood,Festive,225.90308370044053
HTTP/3,Westwood,L2A,181.23044397463002
HTTP/3,Westwood,RB,213.76559139784945
HTTP/3,Westwood,Throughput,174.34249471458773
