http,cc,abr,metricValue
HTTP/1.1,BBR,Bola,2.2018163276072995
HTTP/1.1,BBR,Dynamic,4.781146864381791
HTTP/1.1,BBR,Festive,7.814948437565958
HTTP/1.1,BBR,L2A,9.074322220518264
HTTP/1.1,BBR,RB,31.503905372349458
HTTP/1.1,BBR,Throughput,7.351025108834731
HTTP/1.1,CUBIC,Bola,3.5326112943843957
HTTP/1.1,CUBIC,Dynamic,4.923976666327713
HTTP/1.1,CUBIC,Festive,10.48170446576811
HTTP/1.1,CUBIC,L2A,8.755230278556706
HTTP/1.1,CUBIC,RB,16.989285103470404
HTTP/1.1,CUBIC,Throughput,5.860684053741503
HTTP/1.1,HTCP,Bola,2.5083375350168695
HTTP/1.1,HTCP,Dynamic,6.641825079740516
HTTP/1.1,HTCP,Festive,9.866412579695478
HTTP/1.1,HTCP,L2A,9.592532213125446
HTTP/1.1,HTCP,RB,14.303765983419355
HTTP/1.1,HTCP,Throughput,7.325740925105648
HTTP/1.1,Westwood,Bola,3.2713144718177145
HTTP/1.1,Westwood,Dynamic,7.348858727500859
HTTP/1.1,Westwood,Festive,10.51532354652928
HTTP/1.1,Westwood,L2A,6.65578266827274
HTTP/1.1,Westwood,RB,36.84155647384101
HTTP/1.1,Westwood,Throughput,6.452171822542123
HTTP/2,BBR,Bola,2.60824443281339
HTTP/2,BBR,Dynamic,9.112309322449722
HTTP/2,BBR,Festive,21.62213452944164
HTTP/2,BBR,L2A,10.724789502034733
HTTP/2,BBR,RB,18.794649036006017
HTTP/2,BBR,Throughput,8.097254135677456
HTTP/2,CUBIC,Bola,3.9856626482170183
HTTP/2,CUBIC,Dynamic,6.87783709043912
HTTP/2,CUBIC,Festive,18.04400489247991
HTTP/2,CUBIC,L2A,10.887321794614865
HTTP/2,CUBIC,RB,17.677619401219292
HTTP/2,CUBIC,Throughput,6.409236149411363
HTTP/2,HTCP,Bola,4.324925751485917
HTTP/2,HTCP,Dynamic,8.697569798477053
HTTP/2,HTCP,Festive,10.945646373725236
HTTP/2,HTCP,L2A,10.509297200220013
HTTP/2,HTCP,RB,7.608615855488906
HTTP/2,HTCP,Throughput,9.159232541985872
HTTP/2,Westwood,Bola,7.364718872624238
HTTP/2,Westwood,Dynamic,3.0869626499765914
HTTP/2,Westwood,Festive,13.697814233503792
HTTP/2,Westwood,L2A,13.613408906001773
HTTP/2,Westwood,RB,2.063750993102529
HTTP/2,Westwood,Throughput,13.334668623825168
HTTP/3,BBR,Bola,4.01621000071653
HTTP/3,BBR,Dynamic,3.981273211921743
HTTP/3,BBR,Festive,6.286616078165878
HTTP/3,BBR,L2A,8.468510271558033
HTTP/3,BBR,RB,6.190233877088547
HTTP/3,BBR,Throughput,8.211792375344213
HTTP/3,CUBIC,Bola,5.410514893504072
HTTP/3,CUBIC,Dynamic,6.054732947021506
HTTP/3,CUBIC,Festive,5.06853716289032
HTTP/3,CUBIC,L2A,5.735020166049357
HTTP/3,CUBIC,RB,2.330991375359681
HTTP/3,CUBIC,Throughput,4.176345712555168
HTTP/3,HTCP,Bola,3.3992082899509226
HTTP/3,HTCP,Dynamic,4.183769419516828
HTTP/3,HTCP,Festive,8.891835977392645
HTTP/3,HTCP,L2A,8.66211711005466
HTTP/3,HTCP,RB,3.6192852505342876
HTTP/3,HTCP,Throughput,6.564458954182885
HTTP/3,Westwood,Bola,8.950022230075728
HTTP/3,Westwood,Dynamic,3.040110884925122
HTTP/3,Westwood,Festive,5.7989672662268035
HTTP/3,Westwood,L2A,8.390336442026083
HTTP/3,Westwood,RB,2.875598358435237
HTTP/3,Westwood,Throughput,7.255109553451742
