http,cc,abr,metricValue
HTTP/1.1,BBR,Bola,1105.846625766871
HTTP/1.1,BBR,Dynamic,1239.644171779141
HTTP/1.1,BBR,Festive,1417.3574468085105
HTTP/1.1,BBR,L2A,1040.853249475891
HTTP/1.1,BBR,RB,1268.0515695067265
HTTP/1.1,BBR,Throughput,1171.9568788501026
HTTP/1.1,CUBIC,Bola,951.7342799188641
HTTP/1.1,CUBIC,Dynamic,1078.3095238095239
HTTP/1.1,CUBIC,Festive,1213.9038461538462
HTTP/1.1,CUBIC,L2A,1023.9730848861284
HTTP/1.1,CUBIC,RB,1136.8654244306417
HTTP/1.1,CUBIC,Throughput,1179.9603340292276
HTTP/1.1,HTCP,Bola,1130.4381338742394
HTTP/1.1,HTCP,Dynamic,1205.2961373390558
HTTP/1.1,HTCP,Festive,1346.5229166666666
HTTP/1.1,HTCP,L2A,1035.5678496868477
HTTP/1.1,HTCP,RB,1219.9444444444443
HTTP/1.1,HTCP,Throughput,1139.3202479338843
HTTP/1.1,Westwood,Bola,1107.7782258064517
HTTP/1.1,Westwood,Dynamic,1259.7707910750507
HTTP/1.1,Westwood,Festive,1429.860465116279
HTTP/1.1,Westwood,L2A,1030.0062761506276
HTTP/1.1,Westwood,RB,1287.9191489361701
HTTP/1.1,Westwood,Throughput,1178.519313304721
HTTP/2,BBR,Bola,909.536231884058
HTTP/2,BBR,Dynamic,1026.1630901287554
HTTP/2,BBR,Festive,1126.4519650655022
HTTP/2,BBR,L2A,1038.4583333333333
HTTP/2,BBR,RB,1230.8257080610022
HTTP/2,BBR,Throughput,1124.7881355932204
HTTP/2,CUBIC,Bola,1082.081135902637
HTTP/2,CUBIC,Dynamic,956.2256728778468
HTTP/2,CUBIC,Festive,1281.4004329004329
HTTP/2,CUBIC,L2A,1080.9152173913044
HTTP/2,CUBIC,RB,1169.2521551724137
HTTP/2,CUBIC,Throughput,1159.8722554890219
HTTP/2,HTCP,Bola,1159.8044806517312
HTTP/2,HTCP,Dynamic,1177.925
HTTP/2,HTCP,Festive,1179.6492374727668
HTTP/2,HTCP,L2A,1018.9728601252609
HTTP/2,HTCP,RB,1270.8577586206898
HTTP/2,HTCP,Throughput,1020.0225733634312
HTTP/2,Westwood,Bola,990.4256619144603
HTTP/2,Westwood,Dynamic,1042.1628392484342
HTTP/2,Westwood,Festive,1169.195945945946
HTTP/2,Westwood,L2A,1103.9578713968958
HTTP/2,Westwood,RB,1216.340611353712
HTTP/2,Westwood,Throughput,1060.637113402062
HTTP/3,BBR,Bola,443.5717299578059
HTTP/3,BBR,Dynamic,463.90329218106996
HTTP/3,BBR,Festive,638.9192546583851
HTTP/3,BBR,L2A,578.713062098501
HTTP/3,BBR,RB,768.0322580645161
HTTP/3,BBR,Throughput,503.9248434237996
HTTP/3,CUBIC,Bola,479.0663900414938
HTTP/3,CUBIC,Dynamic,470.11570247933884
HTTP/3,CUBIC,Festive,602.2468619246862
HTTP/3,CUBIC,L2A,575.7448979591836
HTTP/3,CUBIC,RB,745.1193693693693
HTTP/3,CUBIC,Throughput,482.53863134657837
HTTP/3,HTCP,Bola,421.07142857142856
HTTP/3,HTCP,Dynamic,465.7432712215321
HTTP/3,HTCP,Festive,636.5403726708074
HTTP/3,HTCP,L2A,542.1540041067761
HTTP/3,HTCP,RB,746.7023554603854
HTTP/3,HTCP,Throughput,478.5114822546973
HTTP/3,Westwood,Bola,480.82448979591834
HTTP/3,Westwood,Dynamic,529.080412371134
HTTP/3,Westwood,Festive,615.0918580375783
HTTP/3,Westwood,L2A,548.31875
HTTP/3,Westwood,RB,761.0687361419069
HTTP/3,Westwood,Throughput,472.6517094017094
