http,cc,abr,metricValue
HTTP/1.1,BBR,Bola,6770.750830564784
HTTP/1.1,BBR,Dynamic,6491.439344262295
HTTP/1.1,BBR,Festive,6008.25641025641
HTTP/1.1,BBR,L2A,6093.895287958115
HTTP/1.1,BBR,RB,5678.0360824742265
HTTP/1.1,BBR,Throughput,6396.198979591837
HTTP/1.1,CUBIC,Bola,5844.699346405228
HTTP/1.1,CUBIC,Dynamic,5230.09364548495
HTTP/1.1,CUBIC,Festive,7452.541095890411
HTTP/1.1,CUBIC,L2A,5633.755102040816
HTTP/1.1,CUBIC,RB,5547.720538720539
HTTP/1.1,CUBIC,Throughput,6283.119718309859
HTTP/1.1,HTCP,Bola,6021.26936026936
HTTP/1.1,HTCP,Dynamic,5924.647840531561
HTTP/1.1,HTCP,Festive,6098.112956810632
HTTP/1.1,HTCP,L2A,6021.326460481099
HTTP/1.1,HTCP,RB,5401.163265306122
HTTP/1.1,HTCP,Throughput,6039.0841750841755
HTTP/1.1,Westwood,Bola,6250.565656565656
HTTP/1.1,Westwood,Dynamic,5615.039344262295
HTTP/1.1,Westwood,Festive,5375.620209059233
HTTP/1.1,Westwood,L2A,6244.691525423729
HTTP/1.1,Westwood,RB,5621.300341296928
HTTP/1.1,Westwood,Throughput,6065.120401337793
HTTP/2,BBR,Bola,5913.1466666666665
HTTP/2,BBR,Dynamic,6084.675767918089
HTTP/2,BBR,Festive,6239.453125
HTTP/2,BBR,L2A,6038.875
HTTP/2,BBR,RB,5595.412371134021
HTTP/2,BBR,Throughput,6510.968085106383
HTTP/2,CUBIC,Bola,5981.78073089701
HTTP/2,CUBIC,Dynamic,5370.408026755853
HTTP/2,CUBIC,Festive,5323.659932659933
HTTP/2,CUBIC,L2A,5589.393103448276
HTTP/2,CUBIC,RB,5499.930795847751
HTTP/2,CUBIC,Throughput,6095.297029702971
HTTP/2,HTCP,Bola,6771.43
HTTP/2,HTCP,Dynamic,5779.979865771812
HTTP/2,HTCP,Festive,6135.053003533569
HTTP/2,HTCP,L2A,5581.154882154882
HTTP/2,HTCP,RB,5799.04794520548
HTTP/2,HTCP,Throughput,6644.35761589404
HTTP/2,Westwood,Bola,6281.36026936027
HTTP/2,Westwood,Dynamic,6209.603278688524
HTTP/2,Westwood,Festive,5526.626262626262
HTTP/2,Westwood,L2A,5761.961403508772
HTTP/2,Westwood,RB,5554.006734006734
HTTP/2,Westwood,Throughput,6377.820069204152
HTTP/3,BBR,Bola,6174.888349514563
HTTP/3,BBR,Dynamic,6533.538720538721
HTTP/3,BBR,Festive,6441.91052631579
HTTP/3,BBR,L2A,5752.984455958549
HTTP/3,BBR,RB,5637.712121212121
HTTP/3,BBR,Throughput,5761.251256281407
HTTP/3,CUBIC,Bola,6478.597315436242
HTTP/3,CUBIC,Dynamic,6264.743333333333
HTTP/3,CUBIC,Festive,6198.154362416108
HTTP/3,CUBIC,L2A,5589.137583892618
HTTP/3,CUBIC,RB,5385.017064846416
HTTP/3,CUBIC,Throughput,5810.231034482758
HTTP/3,HTCP,Bola,6234.740863787375
HTTP/3,HTCP,Dynamic,5901.449826989619
HTTP/3,HTCP,Festive,6329.571917808219
HTTP/3,HTCP,L2A,5441.372013651877
HTTP/3,HTCP,RB,5591.62962962963
HTTP/3,HTCP,Throughput,5988.331168831169
HTTP/3,Westwood,Bola,6187.8489932885905
HTTP/3,Westwood,Dynamic,6241.249158249158
HTTP/3,Westwood,Festive,5781.963210702341
HTTP/3,Westwood,L2A,5509.152249134948
HTTP/3,Westwood,RB,5498.416949152543
HTTP/3,Westwood,Throughput,6354.33
