,time,metric,metricTime,metricValue,video,cc,abr,http
5,2025-04-29 02:51:28,bitrate,1.23300004005432,4676.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
19,2025-04-29 02:51:30,bitrate,3.34500002861023,4676.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
35,2025-04-29 02:51:32,bitrate,5.23200011253357,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
48,2025-04-29 02:51:34,bitrate,7.23200011253357,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
65,2025-04-29 02:51:36,bitrate,9.23200011253357,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
78,2025-04-29 02:51:38,bitrate,11.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
92,2025-04-29 02:51:40,bitrate,13.279000043869,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
105,2025-04-29 02:51:42,bitrate,15.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
118,2025-04-29 02:51:44,bitrate,17.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
131,2025-04-29 02:51:46,bitrate,19.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
144,2025-04-29 02:51:48,bitrate,21.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
157,2025-04-29 02:51:50,bitrate,23.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
170,2025-04-29 02:51:52,bitrate,25.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
183,2025-04-29 02:51:54,bitrate,27.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
196,2025-04-29 02:51:56,bitrate,29.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
209,2025-04-29 02:51:58,bitrate,31.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
222,2025-04-29 02:52:00,bitrate,33.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
235,2025-04-29 02:52:02,bitrate,35.430999994278,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
248,2025-04-29 02:52:04,bitrate,37.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
261,2025-04-29 02:52:06,bitrate,39.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
274,2025-04-29 02:52:08,bitrate,41.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
287,2025-04-29 02:52:10,bitrate,43.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
300,2025-04-29 02:52:12,bitrate,45.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
313,2025-04-29 02:52:14,bitrate,47.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
326,2025-04-29 02:52:16,bitrate,49.2740001678467,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
339,2025-04-29 02:52:18,bitrate,51.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
352,2025-04-29 02:52:20,bitrate,53.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
365,2025-04-29 02:52:22,bitrate,55.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
378,2025-04-29 02:52:24,bitrate,57.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
391,2025-04-29 02:52:26,bitrate,59.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
404,2025-04-29 02:52:28,bitrate,61.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
417,2025-04-29 02:52:30,bitrate,63.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
430,2025-04-29 02:52:32,bitrate,65.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
443,2025-04-29 02:52:34,bitrate,67.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
456,2025-04-29 02:52:36,bitrate,69.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
469,2025-04-29 02:52:38,bitrate,71.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
482,2025-04-29 02:52:40,bitrate,73.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
495,2025-04-29 02:52:42,bitrate,75.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
508,2025-04-29 02:52:44,bitrate,77.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
521,2025-04-29 02:52:46,bitrate,79.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
534,2025-04-29 02:52:48,bitrate,81.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
547,2025-04-29 02:52:50,bitrate,83.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
560,2025-04-29 02:52:52,bitrate,85.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
573,2025-04-29 02:52:54,bitrate,87.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
586,2025-04-29 02:52:56,bitrate,89.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
599,2025-04-29 02:52:58,bitrate,91.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
612,2025-04-29 02:53:00,bitrate,93.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
625,2025-04-29 02:53:02,bitrate,95.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
638,2025-04-29 02:53:04,bitrate,97.2330000400543,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
651,2025-04-29 02:53:05,bitrate,99.2320001125336,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
664,2025-04-29 02:53:08,bitrate,101.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
677,2025-04-29 02:53:10,bitrate,103.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
690,2025-04-29 02:53:12,bitrate,105.233000040054,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
703,2025-04-29 02:53:14,bitrate,107.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
716,2025-04-29 02:53:15,bitrate,109.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
729,2025-04-29 02:53:18,bitrate,111.233000040054,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
742,2025-04-29 02:53:20,bitrate,113.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
755,2025-04-29 02:53:22,bitrate,115.233999967575,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
768,2025-04-29 02:53:24,bitrate,117.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
781,2025-04-29 02:53:26,bitrate,119.233000040054,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
794,2025-04-29 02:53:28,bitrate,121.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
807,2025-04-29 02:53:30,bitrate,123.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
820,2025-04-29 02:53:32,bitrate,125.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
833,2025-04-29 02:53:34,bitrate,127.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
846,2025-04-29 02:53:36,bitrate,129.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
859,2025-04-29 02:53:38,bitrate,131.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
872,2025-04-29 02:53:40,bitrate,133.546000003815,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
885,2025-04-29 02:53:44,bitrate,137.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
898,2025-04-29 02:53:46,bitrate,139.233000040054,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
911,2025-04-29 02:53:48,bitrate,141.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
924,2025-04-29 02:53:50,bitrate,143.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
937,2025-04-29 02:53:52,bitrate,145.302000045776,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
950,2025-04-29 02:53:54,bitrate,147.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
963,2025-04-29 02:53:56,bitrate,149.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
976,2025-04-29 02:53:58,bitrate,151.232000112534,6978.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
