,time,metric,metricTime,metricValue,video,cc,abr,http
7,2025-04-29 13:38:33,stallRate,2.30999994277954,0.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
19,2025-04-29 13:38:35,stallRate,4.30999994277954,0.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
34,2025-04-29 13:38:37,stallRate,6.30999994277954,0.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
47,2025-04-29 13:38:39,stallRate,8.30999994277954,0.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
60,2025-04-29 13:38:41,stallRate,10.3099999427795,0.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
74,2025-04-29 13:38:43,stallRate,12.3099999427795,0.0,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
89,2025-04-29 13:38:45,stallRate,14.3099999427795,40.9532242473593,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
104,2025-04-29 13:38:47,stallRate,16.3099999427795,38.5679359678581,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
118,2025-04-29 13:38:49,stallRate,18.3099999427795,33.2745818549922,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
132,2025-04-29 13:38:51,stallRate,20.3099999427795,29.2635936185317,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
145,2025-04-29 13:38:53,stallRate,22.3099999427795,26.0937625090916,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
161,2025-04-29 13:38:55,stallRate,24.3099999427795,27.0834788339071,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
175,2025-04-29 13:38:57,stallRate,26.3099999427795,24.6749400245707,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
189,2025-04-29 13:38:59,stallRate,28.3099999427795,22.6691851291505,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
202,2025-04-29 13:39:01,stallRate,30.3099999427795,20.9457405936646,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
215,2025-04-29 13:39:03,stallRate,32.3099999427795,19.4707751184752,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
229,2025-04-29 13:39:05,stallRate,34.3099999427795,18.2032837683558,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
242,2025-04-29 13:39:07,stallRate,36.3090000152588,17.0791146830696,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
256,2025-04-29 13:39:09,stallRate,38.3099999427795,16.0882030011109,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
269,2025-04-29 13:39:11,stallRate,40.3099999427795,15.2065912967769,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
282,2025-04-29 13:39:13,stallRate,42.3099999427795,14.4170473290687,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
295,2025-04-29 13:39:15,stallRate,44.3099999427795,13.7065316305133,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
308,2025-04-29 13:39:17,stallRate,46.3099999427795,13.0569623364164,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
321,2025-04-29 13:39:19,stallRate,48.3099999427795,12.4692240953335,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
334,2025-04-29 13:39:21,stallRate,50.3099999427795,11.9336574407524,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
347,2025-04-29 13:39:23,stallRate,52.3099999427795,11.4408651506738,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
360,2025-04-29 13:39:25,stallRate,54.3109998703003,10.9885518509322,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
373,2025-04-29 13:39:27,stallRate,56.3099999427795,10.5718368727154,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
386,2025-04-29 13:39:29,stallRate,58.3099999427795,10.1835712916412,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
399,2025-04-29 13:39:31,stallRate,60.3099999427795,9.82196200475155,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
412,2025-04-29 13:39:33,stallRate,62.3090000152588,9.48623116957893,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
425,2025-04-29 13:39:35,stallRate,64.3090000152588,9.17163279574858,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
438,2025-04-29 13:39:37,stallRate,66.3099999427795,8.87868424277696,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
452,2025-04-29 13:39:39,stallRate,68.3099999427795,8.60442286531679,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
468,2025-04-29 13:39:41,stallRate,70.3099999427795,8.34761318780049,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
481,2025-04-29 13:39:43,stallRate,72.3099999427795,8.1037178925492,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
495,2025-04-29 13:39:45,stallRate,74.3099999427795,7.87395273506304,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
508,2025-04-29 13:39:47,stallRate,76.3099999427795,7.65579814100184,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
522,2025-04-29 13:39:49,stallRate,78.3099999427795,7.44954938234434,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
535,2025-04-29 13:39:51,stallRate,80.3099999427795,7.25459830582646,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
548,2025-04-29 13:39:53,stallRate,82.3099999427795,7.06979393627223,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
561,2025-04-29 13:39:55,stallRate,84.3099999427795,6.89414637242457,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
574,2025-04-29 13:39:57,stallRate,86.3099999427795,6.72743596725445,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
588,2025-04-29 13:39:59,stallRate,88.3099999427795,6.56794140847146,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
601,2025-04-29 13:40:01,stallRate,90.3090000152588,6.41557100807989,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
614,2025-04-29 13:40:03,stallRate,92.3099999427795,6.27048936043897,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
630,2025-04-29 13:40:05,stallRate,94.3099999427795,6.13270028221215,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
643,2025-04-29 13:40:07,stallRate,96.3099999427795,5.99991419581501,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
656,2025-04-29 13:40:09,stallRate,98.3109998703003,5.8722158508627,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
669,2025-04-29 13:40:11,stallRate,100.30999994278,5.7510684138514,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
682,2025-04-29 13:40:13,stallRate,102.30999994278,5.63382695368933,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
698,2025-04-29 13:40:15,stallRate,104.30999994278,6.79909796830375,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
712,2025-04-29 13:40:17,stallRate,106.30999994278,6.6664463119372,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
728,2025-04-29 13:40:19,stallRate,108.30999994278,7.32539250745,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
744,2025-04-29 13:40:21,stallRate,110.30999994278,7.18815952909179,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
761,2025-04-29 13:40:23,stallRate,112.30999994278,7.05654527137671,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
776,2025-04-29 13:40:25,stallRate,114.30999994278,6.92869386450672,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
791,2025-04-29 13:40:27,stallRate,116.30999994278,6.86400369082613,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
805,2025-04-29 13:40:29,stallRate,118.309000015259,6.74366122442217,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
819,2025-04-29 13:40:31,stallRate,120.309000015259,6.62746941865271,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
832,2025-04-29 13:40:33,stallRate,122.30999994278,6.51551907986565,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
845,2025-04-29 13:40:35,stallRate,124.30999994278,6.40799374479612,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
858,2025-04-29 13:40:37,stallRate,126.3109998703,6.30317214682691,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
871,2025-04-29 13:40:39,stallRate,128.30999994278,6.20205293672598,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
885,2025-04-29 13:40:41,stallRate,130.30999994278,6.10406206720798,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
898,2025-04-29 13:40:43,stallRate,132.309000015259,6.00856921522383,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
911,2025-04-29 13:40:45,stallRate,134.309000015259,5.91688614226912,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
924,2025-04-29 13:40:47,stallRate,136.309000015259,5.82718950563378,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
937,2025-04-29 13:40:49,stallRate,138.30999994278,5.74043751684317,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
950,2025-04-29 13:40:51,stallRate,140.30999994278,5.65646944113919,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
964,2025-04-29 13:40:53,stallRate,142.30999994278,5.5746632853425,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
977,2025-04-29 13:40:55,stallRate,144.30999994278,5.49548567362654,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
992,2025-04-29 13:40:57,stallRate,146.309000015259,5.41821568069846,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1007,2025-04-29 13:40:59,stallRate,148.30999994278,5.34308789664844,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1021,2025-04-29 13:41:01,stallRate,150.309000015259,5.27014521507526,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1034,2025-04-29 13:41:03,stallRate,152.30999994278,5.19931894363852,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1047,2025-04-29 13:41:05,stallRate,154.30999994278,5.13012853966822,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1060,2025-04-29 13:41:07,stallRate,156.309000015259,5.06302455033242,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1073,2025-04-29 13:41:09,stallRate,158.30999994278,4.99775137438288,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1086,2025-04-29 13:41:11,stallRate,160.30999994278,4.93380614151887,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1099,2025-04-29 13:41:13,stallRate,162.30999994278,4.87134800089264,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1112,2025-04-29 13:41:15,stallRate,164.30999994278,4.81098795552636,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1125,2025-04-29 13:41:17,stallRate,166.309000015259,4.75154902911537,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1138,2025-04-29 13:41:19,stallRate,168.309000015259,4.69372781593025,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1151,2025-04-29 13:41:21,stallRate,170.30999994278,4.63710917973019,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
1164,2025-04-29 13:41:23,stallRate,172.30999994278,4.58219666917243,TheEmptinessMachine,CUBIC,Dynamic,HTTP/1.1
